gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000231192	meta	7	23	0	0	0	0	7.6500e-01	NA	7.6500e-01	NA	NA	NA	NA	7.6500e-01	1.0000e+00	1.2200e+00	1.2200e+00	NA	4.4300e-01	2.9400e+00	4.4300e-01	2.9400e+00	NA	NA
ENSG00000231213	meta	12	9	0	0	0	0	1.6600e-02	NA	1.6600e-02	NA	NA	NA	NA	1.6600e-02	8.2200e-01	5.3500e+00	5.3500e+00	NA	2.0700e+00	1.4400e+01	2.0700e+00	1.4400e+01	NA	NA
ENSG00000231389	meta	4	13	0	0	0	0	3.5800e-01	NA	3.5800e-01	NA	NA	NA	NA	3.5800e-01	1.0000e+00	1.2300e+00	1.2300e+00	NA	2.9300e-01	4.0000e+00	2.9300e-01	4.0000e+00	NA	NA
ENSG00000231500	meta	NA	NA	NA	NA	4	6	NA	1.1300e-01	NA	NA	NA	NA	NA	NA	NA	0.0000e+00	NA	2.6800e+00	0.0000e+00	Infinity	NA	NA	5.5500e-01	1.1300e+01
ENSG00000231672	meta	1	1	0	0	0	0	8.2300e-01	NA	8.2300e-01	NA	NA	NA	NA	8.2300e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.1100e-02	3.1400e+02	5.1100e-02	3.1400e+02	NA	NA
ENSG00000231738	meta	3	7	0	0	0	0	1.7000e-01	NA	1.7000e-01	NA	NA	NA	NA	1.7000e-01	1.0000e+00	1.7200e+00	1.7200e+00	NA	2.8700e-01	7.5400e+00	2.8700e-01	7.5400e+00	NA	NA
ENSG00000231852	meta	2	6	5	9	4	5	3.1800e-01	1.3700e-01	1.8300e-01	NA	NA	NA	NA	1.8300e-01	1.0000e+00	1.3400e+00	1.8700e+00	3.2100e+00	1.3200e-01	7.4800e+00	6.4600e-01	4.8800e+00	6.3700e-01	1.4900e+01
ENSG00000231861	meta	0	6	0	0	0	0	5.9200e-01	NA	5.9200e-01	NA	NA	NA	NA	5.9200e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	3.4100e+00	0.0000e+00	3.4100e+00	NA	NA
ENSG00000231887	meta	3	14	0	0	0	7	7.7000e-01	3.4200e-01	6.0600e-01	NA	NA	NA	NA	6.0600e-01	1.0000e+00	8.6000e-01	8.6000e-01	0.0000e+00	1.5800e-01	3.0800e+00	1.5800e-01	3.0800e+00	0.0000e+00	2.7800e+00
ENSG00000231924	meta	12	45	0	0	0	0	9.2700e-01	NA	9.2700e-01	NA	NA	NA	NA	9.2700e-01	1.0000e+00	1.0700e+00	1.0700e+00	NA	5.1500e-01	2.0600e+00	5.1500e-01	2.0600e+00	NA	NA
ENSG00000231925	meta	6	28	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.6000e-01	8.6000e-01	NA	2.9100e-01	2.1200e+00	2.9100e-01	2.1200e+00	NA	NA
ENSG00000232040	meta	20	61	0	0	0	0	2.9000e-01	NA	2.9000e-01	NA	NA	NA	NA	2.9000e-01	1.0000e+00	1.3200e+00	1.3200e+00	NA	7.5200e-01	2.2100e+00	7.5200e-01	2.2100e+00	NA	NA
ENSG00000232070	meta	2	0	0	0	0	0	3.3300e-01	NA	3.3300e-01	NA	NA	NA	NA	3.3300e-01	1.0000e+00	Infinity	Infinity	NA	7.5400e-01	Infinity	7.5400e-01	Infinity	NA	NA
ENSG00000232112	meta	1	6	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	6.6900e-01	6.6900e-01	NA	1.4500e-02	5.5100e+00	1.4500e-02	5.5100e+00	NA	NA
ENSG00000232119	meta	1	0	0	0	0	3	3.9000e-01	1.0000e+00	3.9000e-01	NA	NA	NA	NA	3.9000e-01	1.0000e+00	Infinity	Infinity	0.0000e+00	1.0300e-01	Infinity	1.0300e-01	Infinity	0.0000e+00	9.7100e+00
ENSG00000232125	meta	15	41	0	0	0	0	1.4900e-01	NA	1.4900e-01	NA	NA	NA	NA	1.4900e-01	1.0000e+00	1.4700e+00	1.4700e+00	NA	7.5500e-01	2.7100e+00	7.5500e-01	2.7100e+00	NA	NA
ENSG00000232196	meta	1	0	0	0	0	0	5.7800e-01	NA	5.7800e-01	NA	NA	NA	NA	5.7800e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000232258	meta	1	0	0	0	0	0	5.7900e-01	NA	5.7900e-01	NA	NA	NA	NA	5.7900e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000232268	meta	3	16	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	7.5300e-01	7.5300e-01	NA	1.4100e-01	2.6300e+00	1.4100e-01	2.6300e+00	NA	NA
ENSG00000232382	meta	5	16	0	0	0	0	6.2500e-01	NA	6.2500e-01	NA	NA	NA	NA	6.2500e-01	1.0000e+00	1.2500e+00	1.2500e+00	NA	3.5900e-01	3.5800e+00	3.5900e-01	3.5800e+00	NA	NA
ENSG00000232423	meta	1	4	2	12	2	14	1.0000e+00	7.4800e-01	9.3800e-01	NA	NA	NA	NA	9.3800e-01	1.0000e+00	1.0000e+00	7.5300e-01	5.7300e-01	2.0400e-02	1.0100e+01	1.4100e-01	2.6300e+00	6.3200e-02	2.5000e+00
ENSG00000232434	meta	1	0	0	0	0	0	3.8500e-01	NA	3.8500e-01	NA	NA	NA	NA	3.8500e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000232560	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
ENSG00000232629	meta	2	5	0	0	0	0	6.0300e-01	NA	6.0300e-01	NA	NA	NA	NA	6.0300e-01	1.0000e+00	1.6100e+00	1.6100e+00	NA	1.5300e-01	9.8100e+00	1.5300e-01	9.8100e+00	NA	NA
ENSG00000232810	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000232838	meta	2	2	0	0	0	0	4.2800e-01	NA	4.2800e-01	NA	NA	NA	NA	4.2800e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	2.9100e-01	5.5300e+01	2.9100e-01	5.5300e+01	NA	NA
ENSG00000232859	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000233198	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000233224	meta	5	14	0	0	0	0	6.2600e-01	NA	6.2600e-01	NA	NA	NA	NA	6.2600e-01	1.0000e+00	1.4300e+00	1.4300e+00	NA	4.0400e-01	4.2100e+00	4.0400e-01	4.2100e+00	NA	NA
ENSG00000233276	meta	4	16	0	0	0	2	1.0000e+00	1.0000e+00	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	0.0000e+00	2.4400e-01	3.1100e+00	2.4400e-01	3.1100e+00	0.0000e+00	2.1400e+01
ENSG00000233412	meta	8	17	0	0	0	0	9.9000e-02	NA	9.9000e-02	NA	NA	NA	NA	9.9000e-02	1.0000e+00	1.8900e+00	1.8900e+00	NA	7.0600e-01	4.6200e+00	7.0600e-01	4.6200e+00	NA	NA
ENSG00000233436	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000233608	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
