gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000000003	meta	3	6	0	0	0	0	5.9700e-01	NA	5.9700e-01	NA	NA	NA	NA	5.9700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	3.2500e-01	9.4000e+00	3.2500e-01	9.4000e+00	NA	NA
ENSG00000000005	meta	0	9	0	0	0	0	3.1800e-01	NA	3.1800e-01	NA	NA	NA	NA	3.1800e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.0300e+00	0.0000e+00	2.0300e+00	NA	NA
ENSG00000000419	meta	5	21	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	9.5600e-01	9.5600e-01	NA	2.8200e-01	2.6000e+00	2.8200e-01	2.6000e+00	NA	NA
ENSG00000000457	meta	12	35	0	0	0	0	3.3800e-01	NA	3.3800e-01	NA	NA	NA	NA	3.3800e-01	1.0000e+00	1.3800e+00	1.3800e+00	NA	6.5000e-01	2.7200e+00	6.5000e-01	2.7200e+00	NA	NA
ENSG00000000460	meta	7	43	0	0	0	0	4.3000e-01	NA	4.3000e-01	NA	NA	NA	NA	4.3000e-01	1.0000e+00	6.5300e-01	6.5300e-01	NA	2.4800e-01	1.4600e+00	2.4800e-01	1.4600e+00	NA	NA
ENSG00000000938	meta	1	6	0	5	3	10	5.9800e-01	8.7900e-01	5.9800e-01	NA	NA	NA	NA	5.9800e-01	1.0000e+00	6.6900e-01	3.6500e-01	1.2000e+00	1.4500e-02	5.5100e+00	8.4800e-03	2.5100e+00	2.1300e-01	4.6800e+00
ENSG00000000971	meta	7	22	0	1	5	15	7.4800e-01	5.5700e-01	6.4900e-01	NA	NA	NA	NA	6.4900e-01	1.0000e+00	1.2800e+00	1.2200e+00	1.3400e+00	4.6100e-01	3.1000e+00	4.4300e-01	2.9400e+00	3.8000e-01	3.8700e+00
ENSG00000001036	meta	3	24	0	0	0	0	2.0000e-01	NA	2.0000e-01	NA	NA	NA	NA	2.0000e-01	1.0000e+00	5.0200e-01	5.0200e-01	NA	9.6700e-02	1.6500e+00	9.6700e-02	1.6500e+00	NA	NA
ENSG00000001084	meta	4	15	0	0	1	3	9.3400e-01	6.6000e-01	8.5100e-01	NA	NA	NA	NA	8.5100e-01	1.0000e+00	1.0700e+00	1.0700e+00	1.3400e+00	2.5900e-01	3.3600e+00	2.5900e-01	3.3600e+00	2.5500e-02	1.6700e+01
ENSG00000001167	meta	1	11	0	0	2	12	6.4300e-01	1.0000e+00	6.4300e-01	NA	NA	NA	NA	6.4300e-01	1.0000e+00	3.6500e-01	3.6500e-01	6.6900e-01	8.4800e-03	2.5100e+00	8.4800e-03	2.5100e+00	7.2700e-02	3.0000e+00
ENSG00000001460	meta	6	27	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.9200e-01	8.9200e-01	NA	3.0100e-01	2.2100e+00	3.0100e-01	2.2100e+00	NA	NA
ENSG00000001461	meta	3	20	0	0	0	0	6.9900e-01	NA	6.9900e-01	NA	NA	NA	NA	6.9900e-01	1.0000e+00	6.0200e-01	6.0200e-01	NA	1.1500e-01	2.0300e+00	1.1500e-01	2.0300e+00	NA	NA
ENSG00000001561	meta	2	14	0	0	0	0	7.8100e-01	NA	7.8100e-01	NA	NA	NA	NA	7.8100e-01	1.0000e+00	5.7300e-01	5.7300e-01	NA	6.3200e-02	2.5000e+00	6.3200e-02	2.5000e+00	NA	NA
ENSG00000001617	meta	7	5	0	0	7	54	4.4300e-02	9.4200e-02	4.4300e-02	NA	NA	NA	NA	4.4300e-02	9.6400e-01	5.6200e+00	5.6200e+00	5.2000e-01	1.5400e+00	2.2500e+01	1.5400e+00	2.2500e+01	2.0000e-01	1.1500e+00
ENSG00000001626	meta	27	127	0	0	0	0	6.0100e-01	NA	6.0100e-01	NA	NA	NA	NA	6.0100e-01	1.0000e+00	8.5300e-01	8.5300e-01	NA	5.4100e-01	1.3000e+00	5.4100e-01	1.3000e+00	NA	NA
ENSG00000001629	meta	5	6	0	0	6	19	2.1700e-02	6.8500e-01	2.0000e-02	NA	NA	NA	NA	2.0000e-02	8.2900e-01	3.3500e+00	3.3500e+00	1.2700e+00	8.0800e-01	1.3200e+01	8.0800e-01	1.3200e+01	4.1400e-01	3.3000e+00
ENSG00000001630	meta	11	22	0	0	0	0	7.0900e-02	NA	7.0900e-02	NA	NA	NA	NA	7.0900e-02	1.0000e+00	2.0100e+00	2.0100e+00	NA	8.7900e-01	4.3200e+00	8.7900e-01	4.3200e+00	NA	NA
ENSG00000001631	meta	0	22	0	0	0	0	1.7700e-02	NA	1.7700e-02	NA	NA	NA	NA	1.7700e-02	8.2200e-01	0.0000e+00	0.0000e+00	NA	0.0000e+00	7.3300e-01	0.0000e+00	7.3300e-01	NA	NA
ENSG00000002016	meta	9	36	0	0	0	0	7.4100e-01	NA	7.4100e-01	NA	NA	NA	NA	7.4100e-01	1.0000e+00	1.0000e+00	1.0000e+00	NA	4.2500e-01	2.1200e+00	4.2500e-01	2.1200e+00	NA	NA
ENSG00000002330	meta	1	10	0	0	0	0	4.3000e-01	NA	4.3000e-01	NA	NA	NA	NA	4.3000e-01	1.0000e+00	4.0100e-01	4.0100e-01	NA	9.2500e-03	2.8200e+00	9.2500e-03	2.8200e+00	NA	NA
ENSG00000002549	meta	6	32	0	0	0	0	7.4100e-01	NA	7.4100e-01	NA	NA	NA	NA	7.4100e-01	1.0000e+00	7.5200e-01	7.5200e-01	NA	2.5700e-01	1.8200e+00	2.5700e-01	1.8200e+00	NA	NA
ENSG00000002586	meta	2	10	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.0300e-01	8.0300e-01	NA	8.5500e-02	3.7700e+00	8.5500e-02	3.7700e+00	NA	NA
ENSG00000002587	meta	1	9	0	0	0	0	6.6600e-01	NA	6.6600e-01	NA	NA	NA	NA	6.6600e-01	1.0000e+00	4.4600e-01	4.4600e-01	NA	1.0200e-02	3.2200e+00	1.0200e-02	3.2200e+00	NA	NA
ENSG00000002726	meta	12	33	0	0	0	0	3.6400e-01	NA	3.6400e-01	NA	NA	NA	NA	3.6400e-01	1.0000e+00	1.4600e+00	1.4600e+00	NA	6.8600e-01	2.9000e+00	6.8600e-01	2.9000e+00	NA	NA
ENSG00000002745	meta	1	13	0	0	0	0	3.0300e-01	NA	3.0300e-01	NA	NA	NA	NA	3.0300e-01	1.0000e+00	3.0900e-01	3.0900e-01	NA	7.2700e-03	2.0600e+00	7.2700e-03	2.0600e+00	NA	NA
ENSG00000002746	meta	8	18	0	0	0	0	1.1300e-01	NA	1.1300e-01	NA	NA	NA	NA	1.1300e-01	1.0000e+00	1.7800e+00	1.7800e+00	NA	6.7100e-01	4.3100e+00	6.7100e-01	4.3100e+00	NA	NA
ENSG00000002822	meta	10	51	0	0	0	0	7.0900e-01	NA	7.0900e-01	NA	NA	NA	NA	7.0900e-01	1.0000e+00	7.8700e-01	7.8700e-01	NA	3.5600e-01	1.5700e+00	3.5600e-01	1.5700e+00	NA	NA
ENSG00000002834	meta	1	3	0	0	7	30	5.2900e-01	1.0000e+00	5.2900e-01	NA	NA	NA	NA	5.2900e-01	1.0000e+00	1.3400e+00	1.3400e+00	9.3600e-01	2.5500e-02	1.6700e+01	2.5500e-02	1.6700e+01	3.4700e-01	2.1800e+00
ENSG00000002919	meta	5	13	0	0	0	0	4.6500e-01	NA	4.6500e-01	NA	NA	NA	NA	4.6500e-01	1.0000e+00	1.5400e+00	1.5400e+00	NA	4.3100e-01	4.6100e+00	4.3100e-01	4.6100e+00	NA	NA
ENSG00000002933	meta	3	14	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.6000e-01	8.6000e-01	NA	1.5800e-01	3.0800e+00	1.5800e-01	3.0800e+00	NA	NA
ENSG00000003056	meta	5	13	0	0	0	0	5.0300e-01	NA	5.0300e-01	NA	NA	NA	NA	5.0300e-01	1.0000e+00	1.5400e+00	1.5400e+00	NA	4.3100e-01	4.6100e+00	4.3100e-01	4.6100e+00	NA	NA
ENSG00000003096	meta	2	2	0	0	0	2	1.3700e-01	1.0000e+00	1.3700e-01	NA	NA	NA	NA	1.3700e-01	1.0000e+00	4.0100e+00	4.0100e+00	0.0000e+00	2.9100e-01	5.5300e+01	2.9100e-01	5.5300e+01	0.0000e+00	2.1400e+01
ENSG00000003137	meta	2	2	0	0	2	5	5.0400e-01	7.3200e-01	4.6400e-01	NA	NA	NA	NA	4.6400e-01	1.0000e+00	4.0100e+00	4.0100e+00	1.6100e+00	2.9100e-01	5.5300e+01	2.9100e-01	5.5300e+01	1.5300e-01	9.8100e+00
ENSG00000003147	meta	5	16	0	0	0	0	6.5400e-01	NA	6.5400e-01	NA	NA	NA	NA	6.5400e-01	1.0000e+00	1.2500e+00	1.2500e+00	NA	3.5900e-01	3.5800e+00	3.5900e-01	3.5800e+00	NA	NA
ENSG00000003249	meta	1	12	0	0	0	0	6.0100e-01	NA	6.0100e-01	NA	NA	NA	NA	6.0100e-01	1.0000e+00	3.3400e-01	3.3400e-01	NA	7.8300e-03	2.2600e+00	7.8300e-03	2.2600e+00	NA	NA
ENSG00000003393	meta	15	54	0	0	0	0	8.4500e-01	NA	8.4500e-01	NA	NA	NA	NA	8.4500e-01	1.0000e+00	1.1100e+00	1.1100e+00	NA	5.8400e-01	2.0100e+00	5.8400e-01	2.0100e+00	NA	NA
ENSG00000003400	meta	6	29	0	0	0	0	9.4700e-01	NA	9.4700e-01	NA	NA	NA	NA	9.4700e-01	1.0000e+00	8.3000e-01	8.3000e-01	NA	2.8200e-01	2.0400e+00	2.8200e-01	2.0400e+00	NA	NA
ENSG00000003402	meta	0	1	0	0	4	5	1.0000e+00	2.0700e-01	7.5800e-01	NA	NA	NA	NA	7.5800e-01	1.0000e+00	0.0000e+00	0.0000e+00	3.2100e+00	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	6.3700e-01	1.4900e+01
ENSG00000003436	meta	1	8	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	5.0200e-01	5.0200e-01	NA	1.1300e-02	3.7400e+00	1.1300e-02	3.7400e+00	NA	NA
ENSG00000003509	meta	13	53	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	9.8400e-01	9.8400e-01	NA	4.9200e-01	1.8300e+00	4.9200e-01	1.8300e+00	NA	NA
ENSG00000003756	meta	2	6	1	6	12	38	8.2500e-01	5.7800e-01	7.2600e-01	NA	NA	NA	NA	7.2600e-01	1.0000e+00	1.3400e+00	1.0000e+00	1.2700e+00	1.3200e-01	7.4800e+00	1.8200e-01	3.7200e+00	6.0300e-01	2.4800e+00
ENSG00000003987	meta	6	42	0	0	0	0	3.7300e-01	NA	3.7300e-01	NA	NA	NA	NA	3.7300e-01	1.0000e+00	5.7300e-01	5.7300e-01	NA	1.9900e-01	1.3600e+00	1.9900e-01	1.3600e+00	NA	NA
ENSG00000003989	meta	6	31	0	0	0	0	8.1700e-01	NA	8.1700e-01	NA	NA	NA	NA	8.1700e-01	1.0000e+00	7.7700e-01	7.7700e-01	NA	2.6500e-01	1.8900e+00	2.6500e-01	1.8900e+00	NA	NA
ENSG00000004059	meta	0	4	0	2	1	0	8.0400e-01	1.8000e-01	8.0400e-01	NA	NA	NA	NA	8.0400e-01	1.0000e+00	0.0000e+00	0.0000e+00	Infinity	0.0000e+00	6.0800e+00	0.0000e+00	3.4100e+00	1.0300e-01	Infinity
ENSG00000004139	meta	5	19	0	0	10	30	7.8500e-01	4.9400e-01	6.6600e-01	NA	NA	NA	NA	6.6600e-01	1.0000e+00	1.0600e+00	1.0600e+00	1.3400e+00	3.0800e-01	2.9300e+00	3.0800e-01	2.9300e+00	5.8300e-01	2.8100e+00
ENSG00000004142	meta	2	9	0	0	0	0	7.2800e-01	NA	7.2800e-01	NA	NA	NA	NA	7.2800e-01	1.0000e+00	8.9200e-01	8.9200e-01	NA	9.3800e-02	4.3100e+00	9.3800e-02	4.3100e+00	NA	NA
ENSG00000004399	meta	3	22	0	0	14	22	3.5500e-01	1.0300e-02	3.5500e-01	NA	NA	NA	NA	3.5500e-01	1.0000e+00	5.4700e-01	5.4700e-01	2.5500e+00	1.0500e-01	1.8200e+00	1.0500e-01	1.8200e+00	1.2100e+00	5.2200e+00
ENSG00000004455	meta	5	15	0	0	0	0	5.6100e-01	NA	5.6100e-01	NA	NA	NA	NA	5.6100e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	3.8000e-01	3.8700e+00	3.8000e-01	3.8700e+00	NA	NA
ENSG00000004468	meta	7	27	0	0	0	0	9.5800e-01	NA	9.5800e-01	NA	NA	NA	NA	9.5800e-01	1.0000e+00	1.0400e+00	1.0400e+00	NA	3.8300e-01	2.4500e+00	3.8300e-01	2.4500e+00	NA	NA
ENSG00000004478	meta	3	10	0	0	0	0	7.5400e-01	NA	7.5400e-01	NA	NA	NA	NA	7.5400e-01	1.0000e+00	1.2000e+00	1.2000e+00	NA	2.1300e-01	4.6800e+00	2.1300e-01	4.6800e+00	NA	NA
ENSG00000004487	meta	6	18	4	7	18	44	3.7000e-01	9.3800e-02	2.0100e-01	NA	NA	NA	NA	2.0100e-01	1.0000e+00	1.3400e+00	1.6100e+00	1.6400e+00	4.3500e-01	3.5200e+00	6.8800e-01	3.4600e+00	8.9300e-01	2.9000e+00
ENSG00000004534	meta	2	3	0	0	1	14	1.8000e-01	3.3000e-01	1.8000e-01	NA	NA	NA	NA	1.8000e-01	1.0000e+00	2.6800e+00	2.6800e+00	2.8700e-01	2.2300e-01	2.3400e+01	2.2300e-01	2.3400e+01	6.7800e-03	1.8800e+00
ENSG00000004660	meta	4	13	0	0	0	0	5.1800e-01	NA	5.1800e-01	NA	NA	NA	NA	5.1800e-01	1.0000e+00	1.2300e+00	1.2300e+00	NA	2.9300e-01	4.0000e+00	2.9300e-01	4.0000e+00	NA	NA
ENSG00000004700	meta	13	32	0	0	0	6	1.7800e-01	6.0800e-01	1.7800e-01	NA	NA	NA	NA	1.7800e-01	1.0000e+00	1.6300e+00	1.6300e+00	0.0000e+00	7.8500e-01	3.2000e+00	7.8500e-01	3.2000e+00	0.0000e+00	3.4100e+00
ENSG00000004766	meta	6	19	0	0	0	0	2.8700e-01	NA	2.8700e-01	NA	NA	NA	NA	2.8700e-01	1.0000e+00	1.2700e+00	1.2700e+00	NA	4.1400e-01	3.3000e+00	4.1400e-01	3.3000e+00	NA	NA
ENSG00000004776	meta	1	0	0	0	0	0	5.7700e-01	NA	5.7700e-01	NA	NA	NA	NA	5.7700e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000004777	meta	6	27	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.9200e-01	8.9200e-01	NA	3.0100e-01	2.2100e+00	3.0100e-01	2.2100e+00	NA	NA
ENSG00000004779	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
ENSG00000004799	meta	6	30	0	0	0	0	8.3300e-01	NA	8.3300e-01	NA	NA	NA	NA	8.3300e-01	1.0000e+00	8.0300e-01	8.0300e-01	NA	2.7300e-01	1.9600e+00	2.7300e-01	1.9600e+00	NA	NA
ENSG00000004809	meta	14	44	0	0	0	0	3.0900e-01	NA	3.0900e-01	NA	NA	NA	NA	3.0900e-01	1.0000e+00	1.2800e+00	1.2800e+00	NA	6.4600e-01	2.3800e+00	6.4600e-01	2.3800e+00	NA	NA
ENSG00000004838	meta	8	37	0	0	0	0	9.5800e-01	NA	9.5800e-01	NA	NA	NA	NA	9.5800e-01	1.0000e+00	8.6800e-01	8.6800e-01	NA	3.4900e-01	1.8900e+00	3.4900e-01	1.8900e+00	NA	NA
ENSG00000004846	meta	19	94	0	0	0	0	5.1600e-01	NA	5.1600e-01	NA	NA	NA	NA	5.1600e-01	1.0000e+00	8.1100e-01	8.1100e-01	NA	4.6800e-01	1.3400e+00	4.6800e-01	1.3400e+00	NA	NA
ENSG00000004848	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
ENSG00000004864	meta	12	44	0	0	0	0	7.6100e-01	NA	7.6100e-01	NA	NA	NA	NA	7.6100e-01	1.0000e+00	1.0900e+00	1.0900e+00	NA	5.2600e-01	2.1100e+00	5.2600e-01	2.1100e+00	NA	NA
ENSG00000004866	meta	3	7	0	1	7	34	3.9100e-01	8.3900e-01	3.9100e-01	NA	NA	NA	NA	3.9100e-01	1.0000e+00	1.7200e+00	1.5100e+00	8.2600e-01	2.8700e-01	7.5400e+00	2.5700e-01	6.2700e+00	3.0900e-01	1.8900e+00
ENSG00000004897	meta	2	3	0	0	0	8	3.1800e-01	3.7000e-01	3.1800e-01	NA	NA	NA	NA	3.1800e-01	1.0000e+00	2.6800e+00	2.6800e+00	0.0000e+00	2.2300e-01	2.3400e+01	2.2300e-01	2.3400e+01	0.0000e+00	2.3500e+00
ENSG00000004939	meta	5	3	0	0	0	0	7.6000e-02	NA	7.6000e-02	NA	NA	NA	NA	7.6000e-02	1.0000e+00	6.6900e+00	6.6900e+00	NA	1.3000e+00	4.3100e+01	1.3000e+00	4.3100e+01	NA	NA
ENSG00000004948	meta	17	46	0	0	0	0	2.1900e-01	NA	2.1900e-01	NA	NA	NA	NA	2.1900e-01	1.0000e+00	1.4800e+00	1.4800e+00	NA	7.9700e-01	2.6400e+00	7.9700e-01	2.6400e+00	NA	NA
ENSG00000004975	meta	4	11	0	0	0	0	5.0000e-01	NA	5.0000e-01	NA	NA	NA	NA	5.0000e-01	1.0000e+00	1.4600e+00	1.4600e+00	NA	3.3900e-01	4.9300e+00	3.3900e-01	4.9300e+00	NA	NA
ENSG00000005001	meta	1	10	0	0	0	0	7.1700e-01	NA	7.1700e-01	NA	NA	NA	NA	7.1700e-01	1.0000e+00	4.0100e-01	4.0100e-01	NA	9.2500e-03	2.8200e+00	9.2500e-03	2.8200e+00	NA	NA
ENSG00000005007	meta	5	5	1	4	22	62	9.8200e-02	2.3200e-01	5.8000e-02	NA	NA	NA	NA	5.8000e-02	1.0000e+00	4.0100e+00	2.6800e+00	1.4200e+00	9.2400e-01	1.7500e+01	7.8400e-01	8.4200e+00	8.3400e-01	2.3500e+00
ENSG00000005020	meta	6	12	0	0	0	0	1.2600e-01	NA	1.2600e-01	NA	NA	NA	NA	1.2600e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	6.1800e-01	5.7800e+00	6.1800e-01	5.7800e+00	NA	NA
ENSG00000005022	meta	1	1	2	0	7	8	1.9800e-01	3.6600e-01	1.4200e-01	NA	NA	NA	NA	1.4200e-01	1.0000e+00	4.0100e+00	1.2000e+01	3.5100e+00	5.1100e-02	3.1400e+02	9.6700e-01	6.3000e+02	1.0800e+00	1.1100e+01
ENSG00000005059	meta	4	35	0	0	0	0	2.4000e-01	NA	2.4000e-01	NA	NA	NA	NA	2.4000e-01	1.0000e+00	4.5900e-01	4.5900e-01	NA	1.1800e-01	1.2800e+00	1.1800e-01	1.2800e+00	NA	NA
ENSG00000005073	meta	0	2	0	0	4	37	1.0000e+00	1.1000e-01	6.9700e-01	NA	NA	NA	NA	6.9700e-01	1.0000e+00	0.0000e+00	0.0000e+00	4.3400e-01	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	1.1200e-01	1.2100e+00
ENSG00000005075	meta	1	5	1	1	4	5	8.4700e-01	9.7500e-02	5.5400e-01	NA	NA	NA	NA	5.5400e-01	1.0000e+00	8.0300e-01	1.3400e+00	3.2100e+00	1.7000e-02	7.1700e+00	1.3200e-01	7.4800e+00	6.3700e-01	1.4900e+01
ENSG00000005100	meta	7	33	0	0	0	0	9.8500e-01	NA	9.8500e-01	NA	NA	NA	NA	9.8500e-01	1.0000e+00	8.5100e-01	8.5100e-01	NA	3.1800e-01	1.9600e+00	3.1800e-01	1.9600e+00	NA	NA
ENSG00000005102	meta	1	6	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	6.6900e-01	6.6900e-01	NA	1.4500e-02	5.5100e+00	1.4500e-02	5.5100e+00	NA	NA
ENSG00000005108	meta	2	21	0	0	0	0	1.4900e-01	NA	1.4900e-01	NA	NA	NA	NA	1.4900e-01	1.0000e+00	3.8200e-01	3.8200e-01	NA	4.3400e-02	1.5600e+00	4.3400e-02	1.5600e+00	NA	NA
ENSG00000005156	meta	6	35	0	0	0	0	3.2800e-01	NA	3.2800e-01	NA	NA	NA	NA	3.2800e-01	1.0000e+00	6.8800e-01	6.8800e-01	NA	2.3600e-01	1.6500e+00	2.3600e-01	1.6500e+00	NA	NA
ENSG00000005175	meta	10	21	0	0	0	0	1.2400e-01	NA	1.2400e-01	NA	NA	NA	NA	1.2400e-01	1.0000e+00	1.9100e+00	1.9100e+00	NA	8.0400e-01	4.2400e+00	8.0400e-01	4.2400e+00	NA	NA
ENSG00000005187	meta	9	39	0	0	0	0	9.2000e-01	NA	9.2000e-01	NA	NA	NA	NA	9.2000e-01	1.0000e+00	9.2600e-01	9.2600e-01	NA	3.9400e-01	1.9400e+00	3.9400e-01	1.9400e+00	NA	NA
ENSG00000005194	meta	3	14	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.6000e-01	8.6000e-01	NA	1.5800e-01	3.0800e+00	1.5800e-01	3.0800e+00	NA	NA
ENSG00000005238	meta	6	4	0	0	0	0	3.7500e-02	NA	3.7500e-02	NA	NA	NA	NA	3.7500e-02	9.4100e-01	6.0200e+00	6.0200e+00	NA	1.4300e+00	2.9000e+01	1.4300e+00	2.9000e+01	NA	NA
ENSG00000005243	meta	3	7	0	0	0	0	3.7700e-01	NA	3.7700e-01	NA	NA	NA	NA	3.7700e-01	1.0000e+00	1.7200e+00	1.7200e+00	NA	2.8700e-01	7.5400e+00	2.8700e-01	7.5400e+00	NA	NA
ENSG00000005249	meta	0	2	0	0	6	13	1.0000e+00	2.6000e-01	7.8300e-01	NA	NA	NA	NA	7.8300e-01	1.0000e+00	0.0000e+00	0.0000e+00	1.8500e+00	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	5.7700e-01	5.2200e+00
ENSG00000005302	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
ENSG00000005339	meta	1	7	0	0	7	36	1.0000e+00	7.3300e-01	9.3400e-01	NA	NA	NA	NA	9.3400e-01	1.0000e+00	5.7300e-01	5.7300e-01	7.8000e-01	1.2700e-02	4.4600e+00	1.2700e-02	4.4600e+00	2.9300e-01	1.7800e+00
ENSG00000005379	meta	11	21	0	0	0	0	9.9800e-02	NA	9.9800e-02	NA	NA	NA	NA	9.9800e-02	1.0000e+00	2.1000e+00	2.1000e+00	NA	9.1500e-01	4.5600e+00	9.1500e-01	4.5600e+00	NA	NA
ENSG00000005381	meta	11	50	0	0	0	0	9.2900e-01	NA	9.2900e-01	NA	NA	NA	NA	9.2900e-01	1.0000e+00	8.8300e-01	8.8300e-01	NA	4.1400e-01	1.7200e+00	4.1400e-01	1.7200e+00	NA	NA
ENSG00000005421	meta	5	26	0	0	0	0	9.5400e-01	NA	9.5400e-01	NA	NA	NA	NA	9.5400e-01	1.0000e+00	7.7200e-01	7.7200e-01	NA	2.3100e-01	2.0400e+00	2.3100e-01	2.0400e+00	NA	NA
ENSG00000005436	meta	17	50	0	0	0	0	5.9300e-01	NA	5.9300e-01	NA	NA	NA	NA	5.9300e-01	1.0000e+00	1.3600e+00	1.3600e+00	NA	7.3800e-01	2.4100e+00	7.3800e-01	2.4100e+00	NA	NA
ENSG00000005448	meta	8	20	0	0	0	0	2.3200e-01	NA	2.3200e-01	NA	NA	NA	NA	2.3200e-01	1.0000e+00	1.6100e+00	1.6100e+00	NA	6.1200e-01	3.8100e+00	6.1200e-01	3.8100e+00	NA	NA
ENSG00000005469	meta	14	62	0	0	0	0	7.7100e-01	NA	7.7100e-01	NA	NA	NA	NA	7.7100e-01	1.0000e+00	9.0600e-01	9.0600e-01	NA	4.6800e-01	1.6400e+00	4.6800e-01	1.6400e+00	NA	NA
ENSG00000005471	meta	6	29	0	0	0	0	9.3600e-01	NA	9.3600e-01	NA	NA	NA	NA	9.3600e-01	1.0000e+00	9.6900e-01	9.6900e-01	NA	3.5800e-01	2.2600e+00	3.5800e-01	2.2600e+00	NA	NA
ENSG00000005483	meta	5	11	0	0	0	0	9.1800e-02	NA	9.1800e-02	NA	NA	NA	NA	9.1800e-02	1.0000e+00	1.8200e+00	1.8200e+00	NA	4.9700e-01	5.7000e+00	4.9700e-01	5.7000e+00	NA	NA
ENSG00000005486	meta	1	6	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	6.6900e-01	6.6900e-01	NA	1.4500e-02	5.5100e+00	1.4500e-02	5.5100e+00	NA	NA
ENSG00000005513	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000005700	meta	5	39	0	0	1	2	1.9600e-01	4.6700e-01	1.9600e-01	NA	NA	NA	NA	1.9600e-01	1.0000e+00	5.1400e-01	5.1400e-01	2.0100e+00	1.5800e-01	1.3100e+00	1.5800e-01	1.3100e+00	3.4000e-02	3.8500e+01
ENSG00000005801	meta	6	16	0	0	0	0	5.4000e-01	NA	5.4000e-01	NA	NA	NA	NA	5.4000e-01	1.0000e+00	1.5100e+00	1.5100e+00	NA	4.8200e-01	4.0500e+00	4.8200e-01	4.0500e+00	NA	NA
ENSG00000005810	meta	12	30	0	0	22	89	2.0700e-01	1.0000e+00	2.0700e-01	NA	NA	NA	NA	2.0700e-01	1.0000e+00	1.7400e+00	1.7400e+00	9.9200e-01	8.3300e-01	3.4400e+00	8.3300e-01	3.4400e+00	5.9200e-01	1.6000e+00
ENSG00000005812	meta	1	3	0	0	3	21	5.3100e-01	4.4200e-01	5.3100e-01	NA	NA	NA	NA	5.3100e-01	1.0000e+00	1.3400e+00	1.3400e+00	5.7300e-01	2.5500e-02	1.6700e+01	2.5500e-02	1.6700e+01	1.0900e-01	1.9200e+00
ENSG00000005844	meta	5	21	0	0	3	14	1.0000e+00	1.0000e+00	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	9.5600e-01	9.5600e-01	8.6000e-01	2.8200e-01	2.6000e+00	2.8200e-01	2.6000e+00	1.5800e-01	3.0800e+00
