gene	set
HSPA5	background
GEMIN8	background
OFD1	background
GPM6B	background
PREX2	background
WDR37	background
YTHDC2	background
CTPS2	background
ATP6V1H	background
POLR2B	background
FAM214A	background
ARAP2	background
TPR	background
KIAA0556	background
DTNBP1	background
C12orf4	background
SCML1	background
FAM184B	background
MAP4	background
GOPC	background
USP28	background
HDAC9	background
TSPAN17	background
NOP16	background
CC2D2A	background
RRM2B	background
ZNF800	background
SNX29	background
LMO3	background
MRPS10	background
RSF1	background
VPS13D	background
CELF2	background
FAM120A	background
R3HDM1	background
COL9A2	background
KITLG	background
ERCC8	background
VAMP3	background
PER3	background
RCN1	background
ELN	background
RFC2	background
ARID1B	background
CLPTM1L	background
NEDD4L	background
HEXB	background
PTCD2	background
NEXMIF	background
JKAMP	background
DKK3	background
MCUR1	background
LIMA1	background
LETMD1	background
SLC4A8	background
BCAR1	background
FAM160A2	background
HERPUD1	background
HOMER3	background
PIK3CB	background
THOC3	background
MPHOSPH9	background
PLEKHA5	background
SIKE1	background
RRP12	background
FNIP2	background
MSMO1	background
TTC17	background
FOXN3	background
AKR7A2	background
MRTO4	background
NNAT	background
USE1	background
MCF2L2	background
AP5M1	background
ANAPC4	background
TRAPPC3	background
THRAP3	background
PHPT1	background
ARID4B	background
OPN3	background
SDCCAG8	background
PTPRN	background
KIF1B	background
TBC1D22A	background
SYNE2	background
PLEKHH1	background
ATP9A	background
CBLN4	background
FAM168A	background
GALC	background
NOP58	background
SZRD1	background
CUL1	background
FAM114A2	background
CYFIP2	background
TAB2	background
GINM1	background
EIF2AK2	background
AC022966.1	background
KMT2C	background
PUM2	background
MRPL43	background
HPF1	background
ZFR	background
ZNF280C	background
PHF21B	background
RC3H2	background
GYG2	background
DCBLD2	background
SOAT1	background
GDI2	background
ATG5	background
TMCC3	background
PITHD1	background
MTA3	background
USP13	background
CDK14	background
SEC61A1	background
PPP1R12A	background
CAMK2B	background
CROCC	background
POLR3E	background
ATP2B4	background
ZC3H11A	background
RIOK2	background
YIPF1	background
NDC1	background
FLYWCH1	background
UNKL	background
ALDH18A1	background
TARBP1	background
GATB	background
MXD1	background
CDK17	background
DNAJC25	background
SLC2A3	background
PSD	background
CTDP1	background
WNK1	background
CCAR1	background
OGFR	background
PIGV	background
SNRNP40	background
RIMBP2	background
QSER1	background
MPC1	background
ACAA1	background
BCAT1	background
HDAC7	background
LZTS1	background
NCKAP1	background
MRPS35	background
GUCY1B1	background
SFSWAP	background
TNK2	background
MON2	background
CDH3	background
GPBP1	background
ZNF112	background
CS	background
MRPS24	background
ELMO2	background
WAPL	background
VMP1	background
APPBP2	background
POLD1	background
SEZ6	background
EIF4B	background
SPHK2	background
RPL18	background
CA11	background
ISOC2	background
U2AF2	background
EPN1	background
MED29	background
MTMR1	background
GPC1	background
ADCK1	background
HAGH	background
RNF4	background
LIMCH1	background
INTS13	background
TM7SF3	background
SPA17	background
ST3GAL6	background
CDON	background
TAF2	background
TNPO3	background
RFXANK	background
TMEM161A	background
LPAR2	background
CTSA	background
SUGP2	background
CNN2	background
SNCAIP	background
DDX20	background
BTBD1	background
FAR2	background
PMS1	background
HMG20B	background
TAF11	background
ANKS1A	background
AP3D1	background
ZNF76	background
NTHL1	background
GNAI3	background
IPO5	background
OAT	background
WDR3	background
PKN2	background
WDR18	background
MCM10	background
DGKA	background
ANKRD44	background
KARS1	background
ADAT1	background
TBC1D22B	background
