transcript_id	module	module.color	module.number	kME	kMEtoMod	gene_id	transcript_name	gene_name	ensg	novelty
TALONT000331438	M3.brown	brown	3	0.7523980740903273	3	ENSG00000101182.15_5	PSMA7_TALONT000331438	PSMA7	ENSG00000101182	NIC
TALONT000331446	M6.red	red	6	0.7054723135900326	6	ENSG00000162300.13_5	ZFPL1_TALONT000331446	ZFPL1	ENSG00000162300	NIC
TALONT000331448	M6.red	red	6	0.7093466077500471	6	ENSG00000178974.10_4	FBXO34_TALONT000331448	FBXO34	ENSG00000178974	NNC
TALONT000331610	M17.grey60	grey60	17	0.6346318337457505	17	ENSG00000121289.18_6	CEP89_TALONT000331610	CEP89	ENSG00000121289	Genomic
TALONT000331695	M9.magenta	magenta	9	0.23268900868953718	9	ENSG00000140474.14_5	AC091230.1_TALONT000331695	AC091230.1	ENSG00000140474	NIC
TALONT000331711	M9.magenta	magenta	9	0.2828057832089094	9	ENSG00000140474.14_5	AC091230.1_TALONT000331711	AC091230.1	ENSG00000140474	NIC
TALONT000331712	M9.magenta	magenta	9	0.4680764714493066	9	ENSG00000140474.14_5	AC091230.1_TALONT000331712	AC091230.1	ENSG00000140474	NNC
TALONT000331759	M9.magenta	magenta	9	0.22504630940104753	9	ENSG00000140474.14_5	AC091230.1_TALONT000331759	AC091230.1	ENSG00000140474	NIC
TALONT000331796	M32.violet	violet	32	0.7559365552463138	32	ENSG00000126775.9_4	ATG14_TALONT000331796	ATG14	ENSG00000126775	NNC
TALONT000331805	M9.magenta	magenta	9	0.3226284547307677	9	ENSG00000140474.14_5	AC091230.1_TALONT000331805	AC091230.1	ENSG00000140474	NIC
TALONT000331824	M9.magenta	magenta	9	0.31609737851980485	9	ENSG00000140474.14_5	AC091230.1_TALONT000331824	AC091230.1	ENSG00000140474	NIC
TALONT000331880	M13.salmon	salmon	13	0.6447831356577135	13	ENSG00000184402.15_3	SS18L1_TALONT000331880	SS18L1	ENSG00000184402	ISM
TALONT000331881	M4.yellow	yellow	4	0.7442713916283107	4	ENSG00000126777.18_6	KTN1_TALONT000331881	KTN1	ENSG00000126777	ISM
TALONT000331889	M38.plum1	plum1	38	0.888268471196141	38	ENSG00000126777.18_6	KTN1_TALONT000331889	KTN1	ENSG00000126777	NIC
TALONT000331913	M9.magenta	magenta	9	0.48091425636908763	9	ENSG00000140474.14_5	AC091230.1_TALONT000331913	AC091230.1	ENSG00000140474	NIC
TALONT000331938	M38.plum1	plum1	38	0.8822336338846322	38	ENSG00000126777.18_6	KTN1_TALONT000331938	KTN1	ENSG00000126777	NIC
TALONT000331980	M9.magenta	magenta	9	0.5080924897281135	9	ENSG00000140474.14_5	AC091230.1_TALONT000331980	AC091230.1	ENSG00000140474	ISM
TALONT000331982	M1.turquoise	turquoise	1	0.8016258793132365	1	ENSG00000006125.18_7	AP2B1_TALONT000331982	AP2B1	ENSG00000006125	NIC
TALONT000332014	M10.purple	purple	10	0.6828230004171435	10	ENSG00000101181.17_3	MTG2_TALONT000332014	MTG2	ENSG00000101181	NIC
TALONT000332076	M5.green	green	5	0.7917562797756322	5	ENSG00000006125.18_7	AP2B1_TALONT000332076	AP2B1	ENSG00000006125	ISM
TALONT000332083	M39.orangered4	orangered4	39	0.5802280170662821	39	ENSG00000006125.18_7	AP2B1_TALONT000332083	AP2B1	ENSG00000006125	ISM
TALONT000332100	M51.thistle1	thistle1	51	0.7754571403722299	51	ENSG00000140474.14_5	AC091230.1_TALONT000332100	AC091230.1	ENSG00000140474	NIC
TALONT000332102	M10.purple	purple	10	0.5034210606632152	10	ENSG00000126777.18_6	KTN1_TALONT000332102	KTN1	ENSG00000126777	NIC
TALONT000332115	M21.darkred	darkred	21	0.8658417418879489	21	ENSG00000101181.17_3	MTG2_TALONT000332115	MTG2	ENSG00000101181	ISM
TALONT000332116	M3.brown	brown	3	0.7587992711921259	3	ENSG00000126777.18_6	KTN1_TALONT000332116	KTN1	ENSG00000126777	ISM
TALONT000332215	M53.palevioletred3	palevioletred3	53	0.8046565735771471	53	ENSG00000006125.18_7	AP2B1_TALONT000332215	AP2B1	ENSG00000006125	ISM
TALONT000332284	M10.purple	purple	10	0.5667038833133358	10	ENSG00000006125.18_7	AP2B1_TALONT000332284	AP2B1	ENSG00000006125	ISM
TALONT000332404	M3.brown	brown	3	0.7697513053915939	3	ENSG00000121766.15_4	ZCCHC17_TALONT000332404	ZCCHC17	ENSG00000121766	ISM
TALONT000332417	M13.salmon	salmon	13	0.5853502900171639	13	ENSG00000126777.18_6	KTN1_TALONT000332417	KTN1	ENSG00000126777	ISM
TALONT000332531	M49.plum2	plum2	49	0.6898270902028569	49	ENSG00000126777.18_6	KTN1_TALONT000332531	KTN1	ENSG00000126777	ISM
TALONT000332617	M40.mediumpurple3	mediumpurple3	40	0.6000472708655271	40	ENSG00000130703.16_5	OSBPL2_TALONT000332617	OSBPL2	ENSG00000130703	ISM
TALONT000332725	M1.turquoise	turquoise	1	0.8039955767092831	1	ENSG00000014216.15_6	CAPN1_TALONT000332725	CAPN1	ENSG00000014216	NIC
TALONT000332768	M37.skyblue3	skyblue3	37	0.30008553260058546	37	ENSG00000130706.13_5	ADRM1_TALONT000332768	ADRM1	ENSG00000130706	NIC
TALONT000332779	M17.grey60	grey60	17	0.7333783489247848	17	ENSG00000014216.15_6	CAPN1_TALONT000332779	CAPN1	ENSG00000014216	NIC
TALONT000333050	M50.thistle2	thistle2	50	0.8426673806137103	50	ENSG00000270647.6_4	TAF15_TALONT000333050	TAF15	ENSG00000270647	ISM
TALONT000333152	M2.blue	blue	2	0.8209868754297736	2	ENSG00000084636.18_6	COL16A1_TALONT000333152	COL16A1	ENSG00000084636	ISM
TALONT000333345	M25.orange	orange	25	0.5920720424035026	25	ENSG00000178761.15_5	FAM219B_TALONT000333345	FAM219B	ENSG00000178761	NIC
TALONT000333396	M3.brown	brown	3	0.8595575455539438	3	ENSG00000278311.5_5	GGNBP2_TALONT000333396	GGNBP2	ENSG00000278311	ISM
TALONT000333460	M19.lightyellow	lightyellow	19	0.5202411008386875	19	ENSG00000070269.14_4	TMEM260_TALONT000333460	TMEM260	ENSG00000070269	NIC
TALONT000333654	M5.green	green	5	0.7419405964956411	5	ENSG00000070367.16_5	EXOC5_TALONT000333654	EXOC5	ENSG00000070367	ISM
TALONT000333656	M8.pink	pink	8	0.7179891148665527	8	ENSG00000278311.5_5	GGNBP2_TALONT000333656	GGNBP2	ENSG00000278311	ISM
TALONT000333693	M49.plum2	plum2	49	0.5901808729182796	49	ENSG00000070367.16_5	EXOC5_TALONT000333693	EXOC5	ENSG00000070367	ISM
TALONT000333710	M5.green	green	5	0.7372417340937355	5	ENSG00000070367.16_5	EXOC5_TALONT000333710	EXOC5	ENSG00000070367	ISM
TALONT000333875	M2.blue	blue	2	0.8597430051590519	2	ENSG00000153885.14_4	KCTD15_TALONT000333875	KCTD15	ENSG00000153885	NIC
TALONT000333934	M1.turquoise	turquoise	1	0.9000075492397832	1	ENSG00000198794.12_7	SCAMP5_TALONT000333934	SCAMP5	ENSG00000198794	NIC
TALONT000333951	M1.turquoise	turquoise	1	0.7856340035077944	1	ENSG00000278540.5_6	ACACA_TALONT000333951	ACACA	ENSG00000278540	ISM
TALONT000333984	M13.salmon	salmon	13	0.5990753372002051	13	ENSG00000198794.12_7	SCAMP5_TALONT000333984	SCAMP5	ENSG00000198794	NNC
TALONT000333992	M7.black	black	7	0.6089174843115812	7	ENSG00000278540.5_6	ACACA_TALONT000333992	ACACA	ENSG00000278540	ISM
TALONT000334043	M27.white	white	27	0.752461868990583	27	ENSG00000153885.14_4	KCTD15_TALONT000334043	KCTD15	ENSG00000153885	ISM
TALONT000334052	M42.lightcyan1	lightcyan1	42	0.7620187273448727	42	ENSG00000153885.14_4	KCTD15_TALONT000334052	KCTD15	ENSG00000153885	ISM
TALONT000334072	M10.purple	purple	10	0.4852786409283421	10	ENSG00000121774.18_3	KHDRBS1_TALONT000334072	KHDRBS1	ENSG00000121774	ISM
TALONT000334145	M9.magenta	magenta	9	0.5128479244653306	9	ENSG00000121775.18_3	TMEM39B_TALONT000334145	TMEM39B	ENSG00000121775	ISM
TALONT000334324	M5.green	green	5	0.737358286358772	5	ENSG00000101193.8_3	GID8_TALONT000334324	GID8	ENSG00000101193	ISM
TALONT000334372	M3.brown	brown	3	0.8138402125542242	3	ENSG00000257103.8_5	LSM14A_TALONT000334372	LSM14A	ENSG00000257103	ISM
TALONT000334576	M4.yellow	yellow	4	0.672228491911121	4	ENSG00000251562.8_4	MALAT1_TALONT000334576	MALAT1	ENSG00000251562	Genomic
TALONT000334579	M4.yellow	yellow	4	0.6492429043500506	4	ENSG00000251562.8_4	MALAT1_TALONT000334579	MALAT1	ENSG00000251562	Genomic
TALONT000334626	M15.midnightblue	midnightblue	15	0.8454115511795312	15	ENSG00000101198.15_4	NKAIN4_TALONT000334626	NKAIN4	ENSG00000101198	ISM
