"MGI.symbol","ENSMUSG","HGNC.symbol","ENSG","dataset","RBP","msORhs","data.type","dataset.id","regulation","cell.type"
"1700021F05Rik","ENSMUSG00000019797","MTRES1","ENSG00000130349","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"1700025G04Rik","ENSMUSG00000032666","C1orf21","ENSG00000116667","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"1810013L24Rik","ENSMUSG00000022507","C16orf72","ENSG00000182831","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"1810030O07Rik","ENSMUSG00000044148","CXorf38","ENSG00000185753","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"1810055G02Rik","ENSMUSG00000035372","C11orf24","ENSG00000171067","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"2210016F16Rik","ENSMUSG00000021550","C9orf64","ENSG00000165118","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"2700081O15Rik","ENSMUSG00000053080","C11orf95","ENSG00000188070","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"4833420G17Rik","ENSMUSG00000062822","C5orf34","ENSG00000172244","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"4930402H24Rik","ENSMUSG00000027309","C20orf194","ENSG00000088854","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"4930590J08Rik","ENSMUSG00000034063","C3orf20","ENSG00000131379","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"4931428F04Rik","ENSMUSG00000014837","KIAA0895L","ENSG00000196123","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"8030462N17Rik","ENSMUSG00000047466","C18orf25","ENSG00000152242","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"9330182L06Rik","ENSMUSG00000056004","KIAA1324L","ENSG00000164659","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"9930021J03Rik","ENSMUSG00000046138","KIAA2026","ENSG00000183354","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aagab","ENSMUSG00000037257","AAGAB","ENSG00000103591","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aak1","ENSMUSG00000057230","AAK1","ENSG00000115977","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aatf","ENSMUSG00000018697","AATF","ENSG00000275700","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aatk","ENSMUSG00000025375","AATK","ENSG00000181409","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abcb9","ENSMUSG00000029408","ABCB9","ENSG00000150967","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abcc1","ENSMUSG00000023088","ABCC1","ENSG00000103222","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abcc5","ENSMUSG00000022822","ABCC5","ENSG00000114770","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
